County,Unemployment-Rate,Rate H.S. Diploma or Less
Alameda,5.1,49.4
Alpine,7.7,64.5
Amador,5.5,69.7
Butte,6.4,64.1
Calaveras,4.9,68.9
Colusa,10.8,75.6
Contra Costa,5.2,51.5
Del Norte,6.3,76.5
El Dorado,4.7,56.5
Fresno,8.1,72.1
Glenn,7.1,80
Humboldt,5.5,62.8
Imperial,18.7,79.5
Inyo,4,67.7
Kern,9.5,77.2
Kings,8.7,79.4
Lake,6.1,71.5
Lassen,6,78
Los Angeles,6.5,62.4
Madera,8.1,79
Marin,4.1,36.7
Mariposa,5,69.2
Mendocino,5.2,68.2
Merced,9.6,79.1
Modoc,5.9,69.4
Mono,4.1,61.7
Monterey,5.9,68.2
Napa,4.1,58.2
Nevada,4.5,54.9
Orange,4.4,53.8
Placer,4.5,51.5
Plumas,6,66.2
Riverside,5.9,70.9
Sacramento,5.3,61.1
San Benito,6.7,72.8
San Bernardino,5.7,72.4
San Diego,4.9,54.8
San Francisco,3.9,39.8
San Joaquin,7,72.4
San Luis Obispo,4.2,56
San Mateo,3.8,45.5
Santa Barbara,4.5,59.9
Santa Clara,4.4,43.9
Santa Cruz,5.8,51.8
Shasta,5.8,68.4
Sierra,4.3,68.2
Siskiyou,6.7,67.7
Solano,5.6,65
Sonoma,4.4,57.5
Stanislaus,7.5,75.7
Sutter,7.9,70.8
Tehama,6.9,78.7
Trinity,5.6,71.5
Tulare,10.9,78.7
Tuolumne,5.7,70.6
Ventura,5,58.9
Yolo,5.4,53.4
Yuba,7.5,73.9